Mã ga;Tên ga;Vĩ độ;Kinh độ;Tuyến;Số tuyến;Ga trung chuyển;Nguồn;Ngày chụp;Google Maps
ga1;Bến Thành;10.77095;106.69788;m1,m2,m2tt;3;có;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.77095,106.69788
ga2;Nhà hát Thành phố;10.7753;106.70207;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.7753,106.70207
ga3;Ba Son;10.78179;106.70834;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.78179,106.70834
ga4;Công viên Văn Thánh;10.79605;106.71551;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.79605,106.71551
ga5;Tân Cảng;10.79859;106.72324;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.79859,106.72324
ga6;Thảo Điền;10.80049;106.73365;m1,m7;2;có;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.80049,106.73365
ga7;An Phú;10.80213;106.74225;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.80213,106.74225
ga8;Rạch Chiếc;10.80855;106.75528;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.80855,106.75528
ga9;Phước Long;10.82143;106.75818;m1,m7;2;có;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.82143,106.75818
ga10;Bình Thái;10.83265;106.76389;m1,m6;2;có;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.83265,106.76389
ga11;Thủ Đức;10.84641;106.77165;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.84641,106.77165
ga12;Khu Công nghệ cao;10.85899;106.78884;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.85899,106.78884
ga13;Đại học Quốc gia;10.8663;106.8012;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.8663,106.8012
ga14;Bến xe Suối Tiên;10.87954;106.81409;m1;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.87954,106.81409
ga15;Tao Đàn;10.77316;106.6903;m2;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.77316,106.6903
ga16;Hàm Nghi;10.77087;106.70359;m2tt;1;không;OpenStreetMap · Overpass API;2026-07-29;https://www.google.com/maps?q=10.77087,106.70359
