Tuyến;Tên tuyến;Đoạn;Thứ tự;Đường;Km đầu;Km cuối;Dài (km);Lệch trung bình (m);Ghi chú
m1;Metro số 1;0;1;Xa lộ Hà Nội;0;2.05;2.05;24;
m1;Metro số 1;0;2;Song Hành Xa Lộ Hà Nội;2.2;3.11;0.91;7;
m1;Metro số 1;0;3;Song Hành Xa Lộ Hà Nội;3.27;4.02;0.76;12;
m1;Metro số 1;0;4;Xa lộ Hà Nội;4.18;5.75;1.57;22;
m1;Metro số 1;0;5;Võ Nguyên Giáp;5.99;9.99;4;19;
m1;Metro số 1;0;6;Cầu Rạch Chiếc;10.14;10.45;0.3;24;
m1;Metro số 1;0;7;Song Hành Võ Nguyên Giáp;10.92;11.25;0.33;5;
m1;Metro số 1;0;8;Song Hành Võ Nguyên Giáp;11.41;13.12;1.7;9;
m1;Metro số 1;0;9;Võ Nguyên Giáp;13.27;13.72;0.45;27;
m1;Metro số 1;0;10;Cầu Sài Gòn;14.17;14.61;0.44;23;
m1;Metro số 1;1;1;Lê Lợi;0.47;0.79;0.31;2;
m1;Metro số 1;1;2;Nguyễn Siêu;1.28;1.59;0.31;7;
m2;Metro số 2;0;1;Trường Chinh;0.38;2.67;2.3;6;
m2;Metro số 2;0;2;Trường Chinh;3.12;4.85;1.73;13;
m2;Metro số 2;0;3;Cách Mạng Tháng Tám;5;8.48;3.48;5;
m2;Metro số 2;0;4;Cách Mạng Tháng Tám;8.63;9.84;1.21;3;
m2tt;Metro số 2 (nhánh);0;1;Mai Chí Thọ;1.42;2.33;0.91;14;
m2tt;Metro số 2 (nhánh);0;2;Mai Chí Thọ;2.48;3.02;0.54;12;
m2tt;Metro số 2 (nhánh);0;3;Hàm Nghi;4.58;5.2;0.63;6;
bd2;Metro số 2 Thủ Dầu Một;0;1;Phạm Ngọc Thạch;0;2.25;2.25;19;
bd2;Metro số 2 Thủ Dầu Một;0;2;Đại lộ Bình Dương;2.31;20.41;18.09;15;
bd2;Metro số 2 Thủ Dầu Một;0;3;Quốc lộ 13;20.91;21.78;0.86;27;
bd1;Metro Bình Dương;0;1;Xa lộ Hà Nội;0;0.98;0.98;23;
bd1;Metro Bình Dương;0;2;Đường số 4;1.11;1.95;0.85;17;
