Mã;Số;Số hiệu cũ;Tên;Loại;Màu;Hướng tuyến;Nguồn hướng tuyến;Tin cậy hướng tuyến;Dài đến 2035 (km);Dài toàn tuyến (km);Nguồn chiều dài;Tin cậy chiều dài;Trạng thái;Có hình học OSM;Km đo được;Số ga có toạ độ;Dữ liệu còn thiếu
M1;1;1;Tuyến số 1;xuyen-tam;#e11d48;Suối Tiên – Bến Thành – An Hạ;NQ-188;5;40.8;40.8;DE-AN-DSDT;4;operating;có;19.6;14;Hướng tuyến và ga đoạn kéo dài Bến Thành – An Hạ | Toạ độ depot Long Bình
M2;2;2;Tuyến số 2;xuyen-tam;#2563eb;Củ Chi – Quốc lộ 22 – An Sương – Bến Thành – Thủ Thiêm;NQ-188;5;20.22;62.8;DE-AN-DSDT;4;construction;có;;2;8/10 toạ độ ga đoạn Bến Thành – Tham Lương | Toàn bộ đoạn Tham Lương – Củ Chi | Toạ độ depot Tham Lương
M2-TT;2;2 (nhánh);Tuyến số 2 — nhánh Bến Thành – Thủ Thiêm;xuyen-tam;#7c3aed;Bến Thành – Thủ Thiêm;OpenStreetMap (tên way);2;;;;1;planned;có;;;Toàn bộ danh sách ga | Chiều dài chính thức | Xác nhận đây là nhánh riêng hay một phần tuyến 2
M3;3;3A + 3B;Tuyến số 3;xuyen-tam;#16a34a;Hiệp Bình Phước – Bình Triệu – Ngã 6 Cộng Hòa – Tân Kiên – An Hạ;NQ-188;5;29.53;62.17;DE-AN-DSDT;4;planned;có;;0;Toàn bộ danh sách ga | Ranh giới giữa phần 3A cũ và 3B cũ trong tuyến mới
M4;4;4 + 4B;Tuyến số 4;xuyen-tam;#f59e0b;Đông Thạnh – Sân bay Tân Sơn Nhất – Bến Thành – Nguyễn Hữu Thọ – Khu đô thị Hiệp Phước;NQ-188;5;36.82;43.4;DE-AN-DSDT;4;planned;không;;0;TOÀN BỘ hình học hướng tuyến | Toàn bộ danh sách ga | Ánh xạ chính xác phần nào là tuyến 4B cũ
M5;5;5;Tuyến số 5;xuyen-tam;#db2777;Long Trường – Xa lộ Hà Nội – Cầu Sài Gòn – Bảy Hiền – Depot Đa Phước;NQ-188;5;32.5;53.87;DE-AN-DSDT;4;planned;không;;0;TOÀN BỘ hình học hướng tuyến | Toàn bộ danh sách ga | Toạ độ depot Đa Phước
M6;6;6;Tuyến số 6 — Vành đai trong;vanh-dai;#ea580c;Tuyến vành đai trong;NQ-188;5;22.85;53.8;DE-AN-DSDT;4;preparing;có;;;Hai ga ngầm trong sân bay (ST01, ST02) | Phần vành đai còn lại ngoài giai đoạn 1 | Hướng tuyến chính thức — MAUR dự kiến phê duyệt 6/2026, ĐÂY LÀ NGUỒN CẦN XIN NHẤT
M7;7;—;Tuyến số 7;xuyen-tam;#c026d3;Tân Kiên – Nguyễn Văn Linh – Thủ Thiêm – Thảo Điền – Thanh Đa – Khu Công nghệ cao – Vinhomes Grand Park;NQ-188;5;;51.23;DE-AN-DSDT;4;planned;có;;0;Toàn bộ danh sách ga | Thống nhất giai đoạn đầu tư giữa NQ-188 và Đề án
M8;8;—;Tuyến số 8;xuyen-tam;#0891b2;;;1;;42.8;DE-AN-DSDT;4;planned;không;;0;ĐIỂM ĐẦU VÀ ĐIỂM CUỐI | Toàn bộ hình học | Toàn bộ danh sách ga
M9;9;—;Tuyến số 9;xuyen-tam;#65a30d;Tam Bình – An Hạ;Báo chuyên ngành bất động sản dẫn quy hoạch;2;;28.31;DE-AN-DSDT;4;planned;không;;0;Xác nhận điểm đầu/cuối bằng văn bản gốc | Toàn bộ hình học | Toàn bộ danh sách ga
M10;10;—;Tuyến số 10 — Vành đai ngoài;vanh-dai;#475569;Vòng khép kín: Thủ Thiêm – Cát Lái – Tam Đa – Long Phước – Khu Công nghệ cao – Linh Trung – Bình Phước – An Phú Đông – kênh Tham Lương – khu Tây – Bình Chánh – Nhà Bè – Đào Trí – Tân Thuận – về lại Thủ Thiêm;Báo chuyên ngành dẫn quy hoạch 2040;2;;87.84;DE-AN-DSDT;4;planned;không;;0;Toàn bộ hình học | Toàn bộ danh sách ga | Thống nhất chiều dài 84 km hay 87,84 km
TT-LT;;;Đường sắt Thủ Thiêm – Long Thành;duong-sat-ket-noi-san-bay;;Không thuộc 10 tuyến metro nội đô. Nối ga Thủ Thiêm với sân bay Long Thành.;;;;;;;;có;;18;1 ga còn thiếu toạ độ | Chiều dài chính thức | Văn bản phê duyệt hướng tuyến
BT-CG;;;Đường sắt đô thị Bến Thành – Cần Giờ;metro-ket-noi;;Nêu trong QĐ-1125 như một hướng mở rộng. Chưa rõ có nằm trong bộ 10 tuyến hay là tuyến riêng.;;;;;;;;có;;0;Toàn bộ 6 ga | Vị trí trong hệ thống đánh số
BD-2;;;Metro số 2 Thủ Dầu Một – TP.HCM;metro-lien-vung;;Thuộc quy hoạch Bình Dương cũ. Sau sáp nhập 01/07/2025, Bình Dương thuộc TP.HCM nên tuyến này nay nằm trong địa giới TP.HCM — nhưng QĐ-1125 phê duyệt TRƯỚC sáp nhập nên chưa gồm tuyến này.;;;;;;;;có;;2;22/24 ga | Văn bản quy hoạch hợp nhất sau sáp nhập
BD-1;;;Metro Thành phố mới Bình Dương – Suối Tiên;metro-lien-vung;;Như trên — thuộc quy hoạch Bình Dương cũ, nay nằm trong TP.HCM.;;;;;;;;có;;0;Toàn bộ 19 ga | Văn bản quy hoạch hợp nhất sau sáp nhập
